GT Prog,Description,Image,Would GT Prog Get Pruned?,Due to False Positives?,Due to False Negatives?,Relevant Labels
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/485488531_d5f9a41cb0_z.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/15481556111_4d3150b8cc_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/485488531_d5f9a41cb0_z.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/3145521506_dba0735841_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/2964423209_d7c519c581_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/64253187_429175fba8_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/15481556111_4d3150b8cc_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/3020340564_afd6ed7749_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/6609229365_84ac92df45_z.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsText, GetRight)","Text to the right of the word ""TOTAL""",test_images/receipts2/5408339252_de3bdefb47_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/2218306443_63a6ed392c_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/6609229365_84ac92df45_z.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/2577237094_7df0e7b034_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/9219563622_90355ebf0a_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/33449180_0a09305667_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/1497373827_b5897e1644_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/5708680375_ed3ac96e0b_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/6609229365_84ac92df45_z.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/3384276276_3444f6dbcb_c.jpg,False,False,False,
"Map(Map(MatchesWord(TOTAL), IsPrice, GetRight), IsPrice, GetAbove)",Price that is above the total price,test_images/receipts2/5408339252_de3bdefb47_c.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/485488531_d5f9a41cb0_z.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/5708680375_ed3ac96e0b_c.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/2913943425_e5ddcd5bf9_e.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/2929996323_28f03cc2cf_c.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/26142189183_cf499d8378_c.jpg,True,False,True,Text
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/7012213067_8080b38f83_c.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/33336502_4cf532b827_c.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/33126637888_f6582ca3a8_c.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/7012213067_8080b38f83_c.jpg,False,False,False,
"Complement(Map(Map(IsText, IsText, GetAbove), IsText, GetAbove))",Bottom two columns of text,test_images/receipts2/1163818732_f65305d3c7_o.jpg,True,False,True,Text
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/3250988635_e3b53745ce_c.jpg,False,False,False,
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/16175734915_2a41edf7d7_z.jpg,True,False,True,Text
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/2240103093_3b7cd0d52e_c.jpg,False,False,False,
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/33449180_0a09305667_c.jpg,False,False,False,
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/33336502_4cf532b827_c.jpg,False,False,False,
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/441185771_7fdfb5e551_c.jpg,False,False,False,
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/2577237094_7df0e7b034_c.jpg,False,False,False,
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/3384276276_3444f6dbcb_c.jpg,True,False,False,Text
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/2240103093_3b7cd0d52e_c.jpg,False,False,False,
"Intersection[IsText, Complement(Union[MatchesWord(total), IsPrice])]",All text except prices and the word 'total',test_images/receipts2/6609229365_84ac92df45_z.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/5408339252_de3bdefb47_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/1731712135_2d2b3e31f2_z.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/1497373827_b5897e1644_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/2577237094_7df0e7b034_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/1163818732_f65305d3c7_o.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/5076557148_4bb28aa1de_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/231578268_e5a7d59d28_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/2577237094_7df0e7b034_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/3250988635_e3b53745ce_c.jpg,False,False,False,
"Map(MatchesWord(TOTAL), IsPrice, GetRight)","Prices to the right of the word ""TOTAL""",test_images/receipts2/9219563622_90355ebf0a_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/1731712135_2d2b3e31f2_z.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/1497373827_b5897e1644_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/33336502_4cf532b827_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/2913943425_e5ddcd5bf9_e.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/3020340564_afd6ed7749_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/5651490637_b9fded6b60_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/33126637888_f6582ca3a8_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/2240103093_3b7cd0d52e_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/2577237094_7df0e7b034_c.jpg,False,False,False,
"Map(MatchesWord(tax), IsText, GetAbove)","Text above the word ""tax""",test_images/receipts2/441185771_7fdfb5e551_c.jpg,False,False,False,
